Date,Price,Open,High,Low,Vol.,Change %
10-Jun-19,1643.42,"1,638.70","1,644.61","1,638.70",-,0.02%
7-Jun-19,1643.03,"1,617.15","1,647.39","1,616.67",-,1.41%
6-Jun-19,1620.13,"1,612.69","1,626.83","1,612.52",-,0.16%
5-Jun-19,1617.50,"1,611.93","1,623.67","1,611.02",-,0.61%
4-Jun-19,1607.74,"1,598.96","1,612.70","1,592.84",-,0.85%
3-Jun-19,1594.24,"1,574.08","1,602.33","1,568.64",-,0.95%
31-May-19,1579.26,"1,586.97","1,586.97","1,570.45",-,-0.66%
30-May-19,1589.77,"1,586.78","1,592.30","1,586.78",-,0.27%
29-May-19,1585.55,"1,605.24","1,605.24","1,582.59",-,-1.70%
28-May-19,1612.93,"1,618.96","1,621.08","1,609.90",-,-0.35%
27-May-19,1618.66,"1,623.69","1,627.79","1,617.40",-,0.10%
24-May-19,1617.01,"1,607.78","1,620.06","1,607.78",-,1.04%
23-May-19,1600.42,"1,619.46","1,619.46","1,595.91",-,-1.46%
22-May-19,1624.19,"1,623.56","1,632.11","1,617.66",-,-0.37%
21-May-19,1630.26,"1,617.87","1,630.87","1,617.87",-,0.67%
20-May-19,1619.41,"1,632.80","1,638.09","1,612.88",-,-0.98%
17-May-19,1635.37,"1,642.47","1,642.47","1,627.37",-,-0.52%
16-May-19,1643.99,"1,627.19","1,644.60","1,620.95",-,0.95%
15-May-19,1628.55,"1,621.63","1,628.67","1,606.55",-,0.44%
14-May-19,1621.43,"1,608.43","1,622.04","1,608.43",-,0.75%
13-May-19,1609.41,"1,627.28","1,627.36","1,607.10",-,-1.19%
10-May-19,1628.77,"1,625.72","1,638.39","1,625.45",-,0.39%
9-May-19,1622.49,"1,639.91","1,639.91","1,618.43",-,-1.36%
8-May-19,1644.80,"1,641.99","1,647.69","1,633.62",-,0.29%
7-May-19,1640.06,"1,667.06","1,669.54","1,637.68",-,-1.48%
6-May-19,1664.76,"1,665.89","1,666.58","1,652.33",-,-0.80%
3-May-19,1678.23,"1,669.39","1,681.53","1,667.99",-,0.42%
2-May-19,1671.17,"1,681.60","1,683.28","1,669.70",-,-1.00%
1-May-19,1688.04,"1,686.38","1,691.58","1,681.50",-,0.19%
30-Apr-19,1684.77,"1,678.76","1,686.93","1,677.55",-,0.42%
29-Apr-19,1677.66,"1,675.09","1,679.99","1,669.56",-,0.10%
26-Apr-19,1675.97,"1,670.39","1,676.11","1,665.50",-,0.36%
25-Apr-19,1669.91,"1,675.27","1,675.27","1,665.13",-,-0.73%
24-Apr-19,1682.11,"1,684.29","1,689.18","1,673.76",-,-0.19%
23-Apr-19,1685.26,"1,685.72","1,687.44","1,680.47",-,-0.03%
22-Apr-19,1685.76,"1,685.87","1,686.94","1,685.34",-,-0.05%
19-Apr-19,1686.65,"1,686.65","1,686.65","1,686.65",-,0.00%
18-Apr-19,1686.65,"1,690.78","1,690.78","1,678.54",-,-0.30%
17-Apr-19,1691.73,"1,689.38","1,694.32","1,687.23",-,0.17%
16-Apr-19,1688.87,"1,684.90","1,692.55","1,684.66",-,0.20%
15-Apr-19,1685.57,"1,682.69","1,687.87","1,680.84",-,0.07%
12-Apr-19,1684.33,"1,674.81","1,685.92","1,672.39",-,0.52%
11-Apr-19,1675.54,"1,674.63","1,680.45","1,668.00",-,0.26%
10-Apr-19,1671.19,"1,670.72","1,675.69","1,667.36",-,0.07%
9-Apr-19,1670.04,"1,676.25","1,685.01","1,668.93",-,-0.38%
8-Apr-19,1676.34,"1,673.63","1,679.22","1,669.81",-,0.20%
5-Apr-19,1672.98,"1,673.04","1,676.16","1,670.92",-,0.15%
4-Apr-19,1670.46,"1,676.26","1,676.26","1,668.75",-,-0.37%
3-Apr-19,1676.73,"1,665.11","1,679.02","1,665.11",-,1.31%
2-Apr-19,1655.10,"1,648.93","1,660.44","1,648.64",-,0.08%
1-Apr-19,1653.82,"1,642.62","1,656.72","1,642.62",-,1.14%
29-Mar-19,1635.23,"1,624.76","1,637.91","1,624.76",-,0.51%
28-Mar-19,1626.88,"1,629.18","1,638.61","1,623.58",-,-0.30%
27-Mar-19,1631.85,"1,632.58","1,642.35","1,626.69",-,-0.23%
26-Mar-19,1635.62,"1,629.93","1,639.73","1,626.58",-,0.38%
25-Mar-19,1629.38,"1,628.75","1,633.58","1,620.98",-,-0.11%
22-Mar-19,1631.12,"1,668.11","1,671.06","1,629.79",-,-1.90%
21-Mar-19,1662.70,"1,667.76","1,668.63","1,656.96",-,0.07%
