Date,Open,High,Low,Close,Adj Close,Volume
2014-03-10,9.010000,9.010000,9.010000,9.010000,7.937377,0
2014-03-11,8.970000,8.970000,8.970000,8.970000,7.902138,0
2014-03-12,8.930000,8.930000,8.930000,8.930000,7.866900,0
2014-03-13,8.800000,8.800000,8.800000,8.800000,7.752378,0
2014-03-14,8.760000,8.760000,8.760000,8.760000,7.717139,0
2014-03-17,8.850000,8.850000,8.850000,8.850000,7.796424,0
2014-03-18,8.900000,8.900000,8.900000,8.900000,7.840472,0
2014-03-19,8.820000,8.820000,8.820000,8.820000,7.769996,0
2014-03-20,8.780000,8.780000,8.780000,8.780000,7.734757,0
2014-03-21,8.760000,8.760000,8.760000,8.760000,7.717139,0
2014-03-24,8.750000,8.750000,8.750000,8.750000,7.708329,0
2014-03-25,8.830000,8.830000,8.830000,8.830000,7.778805,0
2014-03-26,8.870000,8.870000,8.870000,8.870000,7.814044,0
2014-03-27,8.870000,8.870000,8.870000,8.870000,7.814044,0
2014-03-28,8.920000,8.920000,8.920000,8.920000,7.858091,0
2014-03-31,8.970000,8.970000,8.970000,8.970000,7.902138,0
2014-04-01,9.020000,9.020000,9.020000,9.020000,7.946187,0
2014-04-02,9.030000,9.030000,9.030000,9.030000,7.954996,0
2014-04-03,9.010000,9.010000,9.010000,9.010000,7.937377,0
2014-04-04,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-04-07,8.920000,8.920000,8.920000,8.920000,7.858091,0
2014-04-08,8.910000,8.910000,8.910000,8.910000,7.849282,0
2014-04-09,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-04-10,8.870000,8.870000,8.870000,8.870000,7.814044,0
2014-04-11,8.800000,8.800000,8.800000,8.800000,7.752378,0
2014-04-14,8.820000,8.820000,8.820000,8.820000,7.769996,0
2014-04-15,8.770000,8.770000,8.770000,8.770000,7.725948,0
2014-04-16,8.880000,8.880000,8.880000,8.880000,7.822853,0
2014-04-17,8.930000,8.930000,8.930000,8.930000,7.866900,0
2014-04-21,8.940000,8.940000,8.940000,8.940000,7.875710,0
2014-04-22,9.020000,9.020000,9.020000,9.020000,7.946187,0
2014-04-23,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-04-24,9.010000,9.010000,9.010000,9.010000,7.937377,0
2014-04-25,8.960000,8.960000,8.960000,8.960000,7.893329,0
2014-04-28,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-04-29,9.060000,9.060000,9.060000,9.060000,7.981424,0
2014-04-30,9.100000,9.100000,9.100000,9.100000,8.016664,0
2014-05-01,9.130000,9.130000,9.130000,9.130000,8.043092,0
2014-05-02,9.110000,9.110000,9.110000,9.110000,8.025472,0
2014-05-05,9.110000,9.110000,9.110000,9.110000,8.025472,0
2014-05-06,9.110000,9.110000,9.110000,9.110000,8.025472,0
2014-05-07,9.120000,9.120000,9.120000,9.120000,8.034281,0
2014-05-08,9.150000,9.150000,9.150000,9.150000,8.060710,0
2014-05-09,9.110000,9.110000,9.110000,9.110000,8.025472,0
2014-05-12,9.160000,9.160000,9.160000,9.160000,8.069519,0
2014-05-13,9.170000,9.170000,9.170000,9.170000,8.078329,0
2014-05-14,9.160000,9.160000,9.160000,9.160000,8.069519,0
2014-05-15,9.100000,9.100000,9.100000,9.100000,8.016664,0
2014-05-16,9.100000,9.100000,9.100000,9.100000,8.016664,0
2014-05-19,9.080000,9.080000,9.080000,9.080000,7.999043,0
2014-05-20,9.040000,9.040000,9.040000,9.040000,7.963805,0
2014-05-21,9.110000,9.110000,9.110000,9.110000,8.025472,0
2014-05-22,9.130000,9.130000,9.130000,9.130000,8.043092,0
2014-05-23,9.160000,9.160000,9.160000,9.160000,8.069519,0
2014-05-27,9.220000,9.220000,9.220000,9.220000,8.122377,0
2014-05-28,9.190000,9.190000,9.190000,9.190000,8.095946,0
2014-05-29,9.220000,9.220000,9.220000,9.220000,8.122377,0
2014-05-30,9.220000,9.220000,9.220000,9.220000,8.122377,0
2014-06-02,9.240000,9.240000,9.240000,9.240000,8.139996,0
2014-06-03,9.230000,9.230000,9.230000,9.230000,8.131186,0
2014-06-04,9.220000,9.220000,9.220000,9.220000,8.122377,0
2014-06-05,9.280000,9.280000,9.280000,9.280000,8.175234,0
2014-06-06,9.330000,9.330000,9.330000,9.330000,8.219282,0
2014-06-09,9.310000,9.310000,9.310000,9.310000,8.201662,0
2014-06-10,9.280000,9.280000,9.280000,9.280000,8.175234,0
2014-06-11,9.240000,9.240000,9.240000,9.240000,8.139996,0
2014-06-12,9.260000,9.260000,9.260000,9.260000,8.157614,0
2014-06-13,9.260000,9.260000,9.260000,9.260000,8.157614,0
2014-06-16,9.240000,9.240000,9.240000,9.240000,8.139996,0
2014-06-17,9.230000,9.230000,9.230000,9.230000,8.131186,0
2014-06-18,9.310000,9.310000,9.310000,9.310000,8.201662,0
2014-06-19,9.350000,9.350000,9.350000,9.350000,8.236900,0
2014-06-20,9.340000,9.340000,9.340000,9.340000,8.228091,0
2014-06-23,9.310000,9.310000,9.310000,9.310000,8.201662,0
2014-06-24,9.270000,9.270000,9.270000,9.270000,8.166425,0
2014-06-25,9.240000,9.240000,9.240000,9.240000,8.139996,0
2014-06-26,9.240000,9.240000,9.240000,9.240000,8.139996,0
2014-06-27,9.250000,9.250000,9.250000,9.250000,8.148805,0
2014-06-30,9.260000,9.260000,9.260000,9.260000,8.157614,0
2014-07-01,9.340000,9.340000,9.340000,9.340000,8.228091,0
2014-07-02,9.350000,9.350000,9.350000,9.350000,8.236900,0
2014-07-03,9.380000,9.380000,9.380000,9.380000,8.263329,0
2014-07-07,9.290000,9.290000,9.290000,9.290000,8.184043,0
2014-07-08,9.190000,9.190000,9.190000,9.190000,8.095946,0
2014-07-09,9.210000,9.210000,9.210000,9.210000,8.113568,0
2014-07-10,9.110000,9.110000,9.110000,9.110000,8.025472,0
2014-07-11,9.130000,9.130000,9.130000,9.130000,8.043092,0
2014-07-14,9.200000,9.200000,9.200000,9.200000,8.104757,0
2014-07-15,9.150000,9.150000,9.150000,9.150000,8.060710,0
2014-07-16,9.220000,9.220000,9.220000,9.220000,8.122377,0
2014-07-17,9.120000,9.120000,9.120000,9.120000,8.034281,0
2014-07-18,9.180000,9.180000,9.180000,9.180000,8.087138,0
2014-07-21,9.130000,9.130000,9.130000,9.130000,8.043092,0
2014-07-22,9.190000,9.190000,9.190000,9.190000,8.095946,0
2014-07-23,9.200000,9.200000,9.200000,9.200000,8.104757,0
2014-07-24,9.220000,9.220000,9.220000,9.220000,8.122377,0
2014-07-25,9.160000,9.160000,9.160000,9.160000,8.069519,0
2014-07-28,9.170000,9.170000,9.170000,9.170000,8.078329,0
2014-07-29,9.180000,9.180000,9.180000,9.180000,8.087138,0
2014-07-30,9.140000,9.140000,9.140000,9.140000,8.051901,0
2014-07-31,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-08-01,8.950000,8.950000,8.950000,8.950000,7.884520,0
2014-08-04,8.980000,8.980000,8.980000,8.980000,7.910947,0
2014-08-05,8.890000,8.890000,8.890000,8.890000,7.831662,0
2014-08-06,8.860000,8.860000,8.860000,8.860000,7.805233,0
2014-08-07,8.790000,8.790000,8.790000,8.790000,7.743566,0
2014-08-08,8.810000,8.810000,8.810000,8.810000,7.761187,0
2014-08-11,8.850000,8.850000,8.850000,8.850000,7.796424,0
2014-08-12,8.850000,8.850000,8.850000,8.850000,7.796424,0
2014-08-13,8.890000,8.890000,8.890000,8.890000,7.831662,0
2014-08-14,8.920000,8.920000,8.920000,8.920000,7.858091,0
2014-08-15,8.920000,8.920000,8.920000,8.920000,7.858091,0
2014-08-18,8.980000,8.980000,8.980000,8.980000,7.910947,0
2014-08-19,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-08-20,8.970000,8.970000,8.970000,8.970000,7.902138,0
2014-08-21,9.030000,9.030000,9.030000,9.030000,7.954996,0
2014-08-22,8.980000,8.980000,8.980000,8.980000,7.910947,0
2014-08-25,9.040000,9.040000,9.040000,9.040000,7.963805,0
2014-08-26,9.050000,9.050000,9.050000,9.050000,7.972614,0
2014-08-27,9.080000,9.080000,9.080000,9.080000,7.999043,0
2014-08-28,9.040000,9.040000,9.040000,9.040000,7.963805,0
2014-08-29,9.040000,9.040000,9.040000,9.040000,7.963805,0
2014-09-02,9.050000,9.050000,9.050000,9.050000,7.972614,0
2014-09-03,9.120000,9.120000,9.120000,9.120000,8.034281,0
2014-09-04,9.070000,9.070000,9.070000,9.070000,7.990233,0
2014-09-05,9.060000,9.060000,9.060000,9.060000,7.981424,0
2014-09-08,8.990000,8.990000,8.990000,8.990000,7.919757,0
2014-09-09,8.960000,8.960000,8.960000,8.960000,7.893329,0
2014-09-10,8.990000,8.990000,8.990000,8.990000,7.919757,0
2014-09-11,8.960000,8.960000,8.960000,8.960000,7.893329,0
2014-09-12,8.970000,8.970000,8.970000,8.970000,7.902138,0
2014-09-15,8.950000,8.950000,8.950000,8.950000,7.884520,0
2014-09-16,8.970000,8.970000,8.970000,8.970000,7.902138,0
2014-09-17,8.910000,8.910000,8.910000,8.910000,7.849282,0
2014-09-18,8.990000,8.990000,8.990000,8.990000,7.919757,0
2014-09-19,8.960000,8.960000,8.960000,8.960000,7.893329,0
2014-09-22,8.930000,8.930000,8.930000,8.930000,7.866900,0
2014-09-23,8.850000,8.850000,8.850000,8.850000,7.796424,0
2014-09-24,8.890000,8.890000,8.890000,8.890000,7.831662,0
2014-09-25,8.780000,8.780000,8.780000,8.780000,7.734757,0
2014-09-26,8.800000,8.800000,8.800000,8.800000,7.752378,0
2014-09-29,8.760000,8.760000,8.760000,8.760000,7.717139,0
2014-09-30,8.740000,8.740000,8.740000,8.740000,7.699520,0
2014-10-01,8.640000,8.640000,8.640000,8.640000,7.611424,0
2014-10-02,8.530000,8.530000,8.530000,8.530000,7.514519,0
2014-10-03,8.530000,8.530000,8.530000,8.530000,7.514519,0
2014-10-06,8.590000,8.590000,8.590000,8.590000,7.567377,0
2014-10-07,8.470000,8.470000,8.470000,8.470000,7.461663,0
2014-10-08,8.590000,8.590000,8.590000,8.590000,7.567377,0
2014-10-09,8.370000,8.370000,8.370000,8.370000,7.373568,0
2014-10-10,8.250000,8.250000,8.250000,8.250000,7.267854,0
2014-10-13,8.220000,8.220000,8.220000,8.220000,7.241426,0
2014-10-14,8.240000,8.240000,8.240000,8.240000,7.259044,0
2014-10-15,8.130000,8.130000,8.130000,8.130000,7.162139,0
2014-10-16,8.090000,8.090000,8.090000,8.090000,7.126902,0
2014-10-17,8.230000,8.230000,8.230000,8.230000,7.250234,0
2014-10-20,8.260000,8.260000,8.260000,8.260000,7.276663,0
2014-10-21,8.370000,8.370000,8.370000,8.370000,7.373568,0
2014-10-22,8.330000,8.330000,8.330000,8.330000,7.338329,0
2014-10-23,8.420000,8.420000,8.420000,8.420000,7.417615,0
2014-10-24,8.450000,8.450000,8.450000,8.450000,7.444043,0
2014-10-27,8.430000,8.430000,8.430000,8.430000,7.426425,0
